network_code,station,station_name,lat,lon,elevation_m,dist_km
0101,N.ITOH,Ito szoh20,34.9521,139.1379,-82.0,2.116584828676455
0101,N.ITHH,Ito-C szoh35,34.9467,139.0855,-161.0,4.812325733746681
0101,N.HTSH,Hatsushima szoh16,35.0418,139.1686,-74.0,8.723575892758634
0101,N.JIZH,Nakaizu szoh01,34.9161,138.9936,255.0,13.80192552286077
0101,N.NRYH,Nirayama szoh07,35.0632,138.9597,-90.0,18.652604238808593
0101,N.KNIH,Kannami szoh38,35.0854,138.9779,-101.0,18.880248364150788
0101,N.MNZH,Manazuru kngh09,35.1458,139.15,-150.0,19.632648650421483
0101,N.SZJH,Shuzenji szoh42,34.9756,138.9128,45.0,19.800145835412483
0101,N.KWZH,Kawazu szoh40,34.7832,138.97,26.0,25.386516852732584
0101,N.ST6H,Sagami-6 kngh17,35.0966,139.3778,-1130.0,26.593312379583264
0101,N.ST5H,Sagami-5 kngh16,34.9413,139.4213,-1486.0,26.738709400460273
0101,N.HD2H,Heda2 szoh51,34.9678,138.8021,-35.0,29.879287521831714
0101,N.HDAH,Heda szoh17,34.9679,138.8017,-46.0,29.915627197558084
0101,N.SMDH,Shimoda szoh12,34.7409,138.9312,-18.0,31.273186467659364
0101,N.ODWH,Odawara kngh07,35.2524,139.1042,192.0,31.489019949237605
0101,N.NMZH,Numazu szoh10,35.1609,138.8431,109.0,33.6511513496925
0101,N.NS2H,Nishiizu-W szoh39,34.7988,138.7724,25.0,37.76680053176704
0101,N.ASGH,Minamiashigara kngh02,35.3168,139.0247,386.0,39.733216677633656
0101,N.ST4H,Sagami-4 kngh15,34.8931,139.5711,-933.0,41.110492790762045
0101,N.HRTH,Hiratsuka kngh08,35.3203,139.3088,-14.0,42.208041568687406
0101,N.MIZH,Minamiizu szoh41,34.6749,138.834,-50.0,42.50639104716194
0101,N.YKSH,Yamakita-S kngh22,35.3583,139.091,-1845.0,43.322289409179426
0101,N.MTDH,Matsuda kngh20,35.3663,139.126,358.0,44.06804938253473
0101,N.SSNH,Susono szoh19,35.2655,138.8069,900.0,44.08247301802664
0203,E.ARA2,Arai,34.9724,139.12,-145.0,0.9494525335433831
0203,E.KAW,Kawana,34.9549,139.1423,5.0,2.0187936148128194
0203,E.ITOO,Komuroyama,34.9416,139.1247,204.0,3.1946614547505847
0203,E.FTO,Futo,34.9086,139.1341,75.0,6.837589696063094
0203,E.OKV,Okuno,34.9403,139.0604,170.0,7.151253455521195
0203,E.IOB3,Itooki3,34.9616,139.217,-1170.0,7.982587252873471
0203,E.IOB1,Itooki1,34.8738,139.2065,-985.0,12.769926997612231
0203,E.IOB2,Itooki2,34.9358,139.2696,-1330.0,13.279038621470498
0203,E.HOK,Hokiyam,34.8519,139.0373,946.0,15.617378687002484
0203,E.ATA,Atami,35.1159,139.0727,290.0,17.041366840206667
0203,EV.SNK,Shinkai,34.7931,139.3605,17.0,28.792314038779732
0203,EV.NMS,Nomashi,34.7325,139.3583,32.0,33.6365640888592
0203,EV.OS2,Omotesabaku2,34.7341,139.3869,552.0,35.17939036484529
0203,EV.MBB,Mabushi,34.6985,139.3962,30.0,38.75168620669525
0203,EV.OKU,Okuyama,34.7227,139.4323,347.0,38.95117512589476
0203,EV.FJO,Fujioyama,35.3666,138.9102,605.0,48.41458219980293
0207,NU.HED,Heda,34.9625,138.8097,160.0,29.19862993836777
0207,NU.MNI1,Minamiizu,34.6913,138.8388,5.0,40.826648978559724
0301,KAMAT2,,34.9285,139.0608,175.0,7.8149228432278735
0301,AJIRO2,,35.045,139.0918,59.0,9.036245213058935
0301,ODAWA2,,35.2665,139.085,380.0,33.222377169044215
0301,IZUSIM,,34.7212,138.875,135.0,36.15086717200487
0301,OSHIM3,,34.7208,139.428,405.0,38.82497701686839
